text,category_id
"روسیه خواستار امضای توافقنامه امنیتی با افغانستان شد 
 به گزارش خبرنگار مهر در کابل، الکساندر مانتیسکی در دیدار با محمد محقق همچنین گفت که مسکو از سال 2010 تاکنون برای بیش از 300 نفر از نیروهای امنیتی افغانستان زمینه آموزش های کوتاه مدت و تحصیلات عالی در روسیه را فراهم کرده است . 

 سفیر روسیه در کابل اظهار داشت: طبق قراردادی که میان آمریکا و روسیه امضاء شده بود، مسکو 63 فروند بالگرد ام آی 17 را به حکومت افغانستان تحویل داده است . 

 گفته می شود که حجم مبادلات تجاری میان افغانستان و روسیه در سال گذشته حدود 966 میلیون دلار بوده که این میزان، نشان دهنده روابط خوب دو کشور است.",8
"بازداشت یک مقام ارشد حزب نهضت اسلامی تاجیکستان 
 به گزارش خبرنگار خبرگزاری فارس در دوشنبه، بر اساس گزارش رسمی شبکه اول دولتی تاجیکستان، جلال الدین محمود عضو شورای سیاسی و مشاور رئیس حزب نهضت اسلامی به اتهام نگهداری غیرقانونی سلاح و مهمات، از سوی نهادهای امنیتی این کشور بازداشت شده است. 

 بنابراین گزارش، مقام ارشد حزب نهضت اسلامی تاجیکستان در سال 1996 به یکی از همسایه های خود که عضو این حزب بوده است، نگهداری 2 عدد تفنگچه ماکارف و تعدادی مهمات را واگذار کرده است. 

 بر اساس قانون جنایی تاجیکستان، نگهداری غیر قانونی سلاح می تواند از 3 تا 7 سال محرومیت از آزادی را در پی داشته باشد. 

 محمود در گذشته یکی از معاونین کمیسیون آشتی ملی تاجیکستان بوده و عضو کمیسیون مرکزی انتخابات این کشور به شمار می رفت. 

 بازداشت وی در حالی اتفاق افتاد که تا انتخابات جدید پارلمانی تاجیکستان حدود از 2 هفته باقی مانده است. 

 کمیته امنیت ملی تاجیکستان نیز با پخش یک بیانیه ظهر امروز بازداشت این مقام ارشد حزب نهضت اسلامی را تائید کرد. 

 قرار است در آینده نزدیک شورای سیاسی این حزب بحث بازداشت محمود را مورد بحث و بررسی قرار داده و موضع خود را اعلام کند. 

 انتهای پیام/",8
"هشدار کره شمالی نسبت به مانور مشترک واشنگتن - سئول 
 کره شمالی امروز (چهارشنبه) هشدار داد که مانور نظامی مشترک آمریکا و کره جنوبی که قرار است اواسط ماه اوت برگزار شود، بار دیگر تنش ها در شبه جزیره کره را تشدید خواهد کرد. به نقل از خبرگزاری یونهاپ، این مانور سالیانه تحت عنوان ""نگهبان آزادی اولچی"" که قصد بهبود وضعیت دفاعی این دو متحد علیه حملات بالقوه کره شمالی را دارد، قرار است ماه آتی میلادی در کره جنوبی برگزار شود.",8
"ادامه اعتراضات در مکزیک/ آزادی2 سرباز کلمبیایی/اقدامات تخریبی قوه قضائیه آرژانتین علیه فرناندز 
 به گزارش خبرنگار دفتر منطقه ای خبرگزاری فارس در آمریکای لاتین ، تداوم اعتراضات مردمی در مکزیک، آزادی 2سرباز ربوده شده در کلمبیا، طرح کودتای قوه قضائیه در آرژانتین، موافقت نهایی چین برای ساخت کانال نیکاراگوئه، حمله سایبری آمریکا به صفحه اجتماعی رئیس جمهور اکوادور و انتخابات داخلی حزب سوسیالیست متحد در ونزوئلا از مهم ترین اخبار آمریکای لاتین در هفته گذشته است. 

 استفاده رئیس جمهور مکزیک از امکانات یک شرکت تجاری در زمان انتخابات 

 بر اساس اعلام رسانه های مکزیک، رئیس جمهور این کشور در زمان انجام رقابت های انتخاباتی، خانه متعلق به یک شرکت تجاری را که برنده چندین مناقصه دولتی بوده مورد استفاده قرار داده است. 

 همکاری آمریکا و مکزیک برای اصلاح قانون مهاجرت 

 مکزیک و آمریکا برای حمایت از مهاجران این کشور آمریکای مرکزی و اصلاح قانون مهاجرت با یکدیگر همکاری می کنند. 

 موافقت نهایی چین برای ساخت کانال نیکاراگوئه 

 رئیس جمهور نیکاراگوئه و رئیس شرکت چینی اچ کی ان دی بر سر مقدمات نهایی ساخت کانال بین اقیانوسی نیکاراگوئه به توافق رسیدند. 

 معترضین مکزیکی راه های ارتباطی به پایتخت را بستند 

 معترضین مکزیکی بار دیگر در اعتراض به حادثه ناپدید شدن 43 دانش آموزان، یکی از اتوبان ها که پل ارتباطی مکزیکوسیتی پایتخت این کشور با آکاپولکو واقع در ایالت گررو می باشد را مسدود کردند. 

 وزیر دارایی کابینه دولت برزیل تغییر خواهد کرد 

 با توجه به رشد کُند اقتصادی اخیر برزیل، رئیس جمهور این کشور برای معرفی وزرای جدید تحت فشار بوده و احتمالا وزیر دارایی کابینه وی تغییر کند. 

 پلیس ضد فساد در ونزوئلا تاسیس می شود 

 رئیس جمهور ونزوئلا اعلام کرد: در راستای مقابله با فساد و جنگ اقتصادی، پلیس ضد فساد را تاسیس می کند. 

 فارک 2 سرباز ارتش کلمبیا را آزاد کرد 

 فارک پس از آزاد کردن 2 سرباز ربوده شده ارتش کلمبیا در ایالت آراوکا خواستار توقف عملیات نظامی توسط دولت این کشور شد. 

 آرژانتین خواستار رسیدگی به شکایت علیه بی بی سی شد 

 سفیر آرژانتین در انگلیس به دلیل بی توجهی مدیر بی بی سی به شکایت این کشور درباره پرونده کلارکسون از هیئت مدیره این شبکه تلویزیونی خواست به آن رسیدگی کند. 

 رئیس جمهور بولیوی: دوره سلطه آمریکا بر بولیوی به پایان رسیده است 

 رئیس جمهور بولیوی اعلام کرد که با ورود بومیان به عرصه قدرت و رهایی حکومت از بند دخالت های بیگانگان، دیگر دوره سلطه آمریکا بر بولیوی به پایان رسیده است. 

 آمریکا به دنبال نقض حقوق کودکان مهاجر است 

 کمیسر حقوق بشر هندوراس اعلام کرد: ایالات متحده آمریکا بدون طی کردن روند قانونی در حال بازگرداندن کودکان مهاجر به کشورهایشان می باشد، اقدامی که در واقع حقوق آن ها را نقض می کند. 

 دانشجویان مکزیکی خواستار استعفای رئیس جمهور این کشور شدند 

 دانشجویان دانشکده های تربیت معلم مکزیک ضمن درخواست استعفای رئیس جمهور این کشور هشدار دادند در صورت عدم توجه به این موضوع، تظاهرات خود را شدت می بخشند. 

 انتخابات داخلی حزب سوسیالیست متحد در ونزوئلا برگزار شد 

 ونزوئلایی ها برای انتخاب 3 هزار نماینده جدید حزب سوسیالیست متحد ونزوئلا پای صندوق های رأی رفتند. 

 رئیس جمهور اکوادور حملات سایبری آمریکا به صفحات اجتماعی خود را محکوم کرد 

 رئیس جمهور اکوادور طی سخنانی حملات سایبری آمریکا علیه صفحات شخصی خود در شبکه های اجتماعی را محکوم کرد. 

 قوه قضائیه آرژانتین به حمله علیه دولت ملی محکوم شد 

 رئیس کابینه دولت آرژانتین قوه قضائیه این کشور را به داشتن استراتژی تخریبی و همچنین حمله به دولت ملی محکوم کرد. 

 اکوادور: پناهندگی آسانژ همچنان اعتبار دارد 

 دولت اکوادور از طریق بیانیه ای اعلام کرد که پناهندگی جولیان آسانژ مؤسس سایت ویکی لیکس در این کشور همچنان معتبر است. 

 انتهای پیام/",8
"تایوان چشم به راه ناوچه های آمریکایی/ پکن خشمگین است 
 تایوان ابراز امیدواری کرد که واشنگتن هرچه سریع تر دو ناوچه دست دوم خریداری شده را به این کشور تحویل دهد. این درحالی است که اقدام کنگره آمریکا در تصویب لایحه فروش این دو کشتی جنگی عصبانیت پکن را به دنبال داشته است. 

 به گزارش خبرگزاری دانشجویان ایران (ایسنا) به نقل از خبرگزاری رویترز، دیوید لو، سخنگوی وزارت دفاع تایوان در این باره گفت: تایوان 175 میلیون دلار برای خرید این دو ناوچه که در کلاس ""پری"" ساخته شده اند و نیازی به تعمیر یا ارتقای سیستم ندارند، اختصاص داده است. ماامیدواریم که هرچه سریعتر این ناوچه ها را تحویل بگیریم و آنها را عملیاتی کنیم. 

 در همین حال دولت چین نسبت به این معامله واکنش نشان داده است. هونگ لی، سخنگوی وزارت خارجه چین با انتقاد از تصمیم کنگره آمریکا در موافقت با فروش دو ناوچه به تایوان، این اقدام را دخالت در امور داخلی چین توصیف کرده بود. 

 لی در این باره افزود: چین قاطعانه با این اقدام مخالفت می کند و همچنین اعتراض رسمی خود را به طرف آمریکایی ابلاغ کرده است. ما امیدواریم کنگره آمرکیا اجرای این لایحه را متوقف کند. ما به اتخاذ تصمیم درست توسط نمایندگان جدید کنگره در جلوگیری از تخریب روابط چین و آمریکا امیدواریم. 

 این لایحه که طبق آن علاوه بر تایوان، ناوهای جنگی به مکزیک، تایلند و پاکستان نیز تحویل داده می شوند، برای اجرایی شدن باید به امضای رییس جمهور آمریکا برسد. 

 فروش سلاح های آمریکایی به تایوان طی سال های اخیر با مخالفت های شدیدی از طرف چین مواجه بوده است، اما تاکنون این مخالفت ها باعث بدتر شدن روابط پکن با واشنگتن یا تایپه نشده است. 

 با وجود روابط اقتصادی گسترده تایوان و چین، اختلافات سیاسی و نظامی بین دو کشور هر روز عمیق تر می شود. 

 انتهای پیام",8
"این طرح سابقه زیانباری را ایجاد می کند 
 به گزارش خبرگزاری مهر به نقل از صدای آمریکا، جاش ارنست،سخنگوی کاخ سفید در واکنش به تصویب طرح اعمال تحریم های جدید علیه ایران در کمیته بانکی سنا، با بیان این که این طرح سابقه زیانباری را ایجاد می کند و بر گفت و گوهای هسته ای ایران و قدرت های جهانی تاثیر منفی می گذارد، هشدار داد که در صورت تصویب نهایی، رییس جمهوری آن را وتو خواهد کرد. 

 پس از چند روز کشمکش میان کاخ سفید و نمایندگان دموکرات و جمهوریخواه کنگره، کمیته بانکی سنا روز پنجشنبه طرح موسوم به قانون ایران عاری از سلاح اتمی ، که توسط سناتور لیندزی گراهام و سناتور باب کورکر ارائه شده بود، را تصویب کرد. 

 این طرح، که بر اساس آن هرگونه توافق جامع هسته ای با ایران را منوط به تصویب کنگره می کند، با 18 رای موافق در مقابل 4 رای مخالف در این کمیته به تصویب رسید، که بر مبنای آن و در صورت تصویب نهایی، اگر گفتگوهای هسته ای جاری با ایران به شکست بیانجامد، تحریم های سخت تری علیه تهران اعمال خواهد شد. 

 تنها 4 سناتور دموکرات، شراد براون، جک رید، جف مرکلی و الیزابت وارن به این طرح رای منفی دادند و 6 سناتور دموکرات دیگر به جمهوریخواهان پیوستند و به آن رای مثبت دادند. 

 سناتور باب کورکر رییس کمیته روابط خارجی سنا نیر که خود طراح طرح لزوم ارجاع هر توافق نهایی با ایران به کنگره است، و در نشست کمیته بانکی حضور داشت به بیشتر متمم های الحاقی این طرح رای منفی داد.",8
"ایرلند نیز به جمع حامیان کشور فلسطینی پیوست 
 به گزارش خبرگزاری مهر به نقل از خبرگزاری آلمان، حزب مخالف دولت ایرلند قرار است طرحی را برای برسمیت شناختن کشور فلسطینی به پارلمان ارائه دهد که این امر از سوی دولت این کشور مورد تائید قرار گرفته است. 

 بر اساس گزارش های رسیده تصمیم دولت ایرلند در حالی اعلام شد که سوئد نیز پیشتر فلسطین را به عنوان یک کشور به رسمیت شناخت. 

 از سوی دیگر پارلمان های اسپانیا، انگلیس و فرانسه نیز با انجام رای گیری، قطعنامه هایی غیر الزام آور را در حمایت از به رسمیت شناختن فلسطین به تصویب رسانده اند. 

 دولت ایرلند کشور فلسطین را بر اساس مرزهای سال 1967 به رسمیت خواهد شناخت و پایتخت آن را بیت المقدس شرقی خواهد دانست. 

 دوبلین همچنین ادامه شهرک سازی های اسرائیل و گسترش این گونه فعالیت ها را در کرانه باختری، غیر قانونی قلمداد کرده است.",8
"رسوایی جدید منامه؛ شکنجه انقلابیون با سگ های هار 
 به گزارش گروه بین الملل خبرگزاری فارس ، جریان وفای اسلامی بحرین با انتشار بیانیه ای زندان های رژیم آل خلیفه را خاستگاه نقض حقوق زندانیان و شکنجه های گوناگون جسمی و روحی توصیف کرد و از وضعیت زندان های بحرین و انواع بدرفتاری ها و شکنجه هایی که علیه زندانیان سیاسی روا داشته می شوند، پرده برداشت. 

 گزارش شبکه العالم حاکی است که در بیانیه جریان وفای اسلامی به انواع شکنجه های سخت در زندان های آل خلیفه از جمله حمله با سگ های هار به زندانیان، سوء تغذیه، جلوگیری از مراقبت های پزشکی زندانیان و توهین به دین و مقدسات زندانیان اشاره شده است. 

 بر اساس این گزارش، جریان وفای اسلامی با اشاره به شکنجه مداوم حسین پرویز از فعالان حقوقی در زندان های آل خلیفه به منظور اعتراف گیری از وی، تاکید کرد: این قبیل رفتارها در زندان های آل خلیفه با وجود حمایت مستقیم قدرت های غربی از مقامات منامه همچنان ادامه خواهد داشت. 

 بیانیه جریان وفای اسلامی از تشکل ها مخالف نظام منامه حاکی است که آخرین پرده های نفاق آمریکا و انگلیس که خود را حامی فعالیت های حقوق بشری و مسالمت آمیز معرفی می کردند، (با وجود ظلمی که علیه انقلابیون بحرنی روا داشته می شود) از بین رفته است. 

 مخالفان بحرینی همچنین مردم بحرین را به همبستگی با رهبران زندانی انقلاب 14 فوریه، که در اعتراض به بدرفتاری های زندانبانان آل خلیفه اعتصاب غذا کرده اند، فراخواند. 

 انتهای پیام/",8
"مادورو: آمریکا با کمک به خیانتکاران داخلی قصد سلطه بر ونزوئلا را دارد 
 به گزارش خبرنگار دفتر منطقه ای خبرگزاری فارس در آمریکای لاتین به نقل از تله سور ، نیکلاس مادورو رئیس جمهور ونزوئلا روز گذشته از طریق یک گفت وگوی تلفنی در برنامه تلویزیونی اوخیا که از شبکه (VTV) ونزوئلا پخش می شد خطاب به مردم کشور خود هشدار داد که نسبت به عملکرد برخی خائنین در کشور که قصد دارند سلطه آمریکا بر ونزوئلا را بار دیگر ایجاد کنند هوشیار باشند. 

 مادورو در ادامه تأکید کرد که امپریالیست آمریکا بدون شک به دنبال تسلط بر ونزوئلا بوده و برپا کردن جنگ اقتصادی و کمک به خیانتکاران کشور نیز همین هدف را دنبال می کند. 

 وی در طول سخنانش در اشاره به سال های گذشته و تاریخ ونزوئلا خاطرنشان کرد که پس از هر خیانتی در یک کشور سلطه امپریالیستی، سلطه الیگارشی، خشکسالی و توهین به ملت به آن کشور روی می آورد و در زمان بروز این واقعه برای کشور ما تنها تمسک به اصالت انقلاب بولیواری و رهبر فقید آن هوگو چاوز است که می تواند شادی و رفاه را به کشور بازگردانده و کمک کند تا ونزوئلا مسیر خود را همانند گذشته طی کند. 

 جنگ اقتصادی 

 مادورو در بخشی از سخنانش در ارتباط با جنگ اقتصادی به وجود آمده در ماه های اخیر در کشور اعلام کرد: چند ماهی است که شرکت های خصوصی ما با جنگ و بحرانی اقتصادی دست وپنجه نرم می کنند که این نیز حربه ای از سوی آمریکا برای تسلط پیدا کردن بر روی ونزوئلاست. 

 مادورو در این مورد تأکید کرد: این مشکلات اقتصادی برطرف شده و تبدیل به مشتی آهنین بر روی کسانی خواهد شد که قصد دارند با کودتای اقتصادی بر مردم ونزوئلا آسیب رسانده و به آن ها ضرر وارد کنند. 

 حمایت کودتای ضددولتی ونزوئلا از سوی ایالات متحده آمریکا 

 رئیس جمهور ونزوئلا در طول صحبت هایش به کودتای این کشور در 12 فوریه گذشته اشاره کرده و اعلام کرد که اپوزیسیون ونزوئلا با کمک های واشنگتن توانست این اقدام ضد دولتی خود را تا مراحلی پیش برده و برنامه های آن را عملی کند. 

 وی در ادامه به بازداشت آنتونیو لادزما شهردار کاراکاس پایتخت ونزوئلا نیز اشاره کرده که به جرم شرکت در این کودتا و توطئه علیه کشور هم اکنون در زندان به سر می برد. 

 مادورو در روز پنج شنبه این خبر را داده بود که توطئه ای بین المللی علیه ونزوئلا در جهان در حال وقوع است که رسانه ها در آن حضور چشمگیری دارند، وی همچنین در این روز اعلام کرده بود که شواهدی در دست است که نشان دهنده شرکت کارکنان سفارت آمریکا در کودتا و اقدامات ضددولتی علیه این کشور آمریکای جنوبی می باشد. 

 رئیس جمهور ونزوئلا در پایان سخنانش متذکر شد که شهرهایی چون مادرید پایتخت اسپانیا، بوگوتا پایتخت کلمبیا و میامی یکی از ایالات آمریکا مراکز اصلی توطئه چینی علیه دولت بولیواری ونزوئلا به شمار می روند. 

 انتهای پیام/",8
"بازگشایی سفارت فلسطین در سوئد 
 به گزارش گروه بین الملل خبرگزاری فارس ، محمود عباس (ابومازن) رئیس تشکیلات خودگردان فلسطین سه شنبه شب (دیشب) سفارت فلسطین را در استکهلم سوئد افتتاح کرد تا بدین وسیله اولین سفارت فلسطین در کشورهای عضواتحادیه اروپا باشد. 

 به گزارش وبگاه خبری فلسطین الیوم ، عباس در سفر خود به سوئد همچنین با استفان لوفون نخست وزیر این کشور دیدار کرد و در این دیدار راه های ازسرگیری مذاکرات سازش پس از انتخابات اسرائیل (17 مارس) بررسی شد. 

 لوفون در کنفرانس خبری مشترک خود با عباس گفت: سوئد خواستار احیای مذاکرات سازش است و همه اطراف مربوط به این مسأله را به آن تشویق می کند. 

 عباس نیز گفت: اگر بر سر میز مذاکره ننشینیم امکان رسیدن به هیچ سازشی وجود ندارد. 

 عباس از روز دوشنبه 20 بهمن) طی سفری سه روزه وارد سوئد شد. سوئد از جمله اولین کشورهایی بود که در سال گذشته (اکتبر2014) فلسطین را به رسمیت شناخت. 

 انتهای پیام/ص",8
